League,Season,URL,Home,Away,Date,Final_Result,HT_Result,1X2_Close_1,1X2_Close_X,1X2_Close_2,1X2_Open_1,1X2_Open_X,1X2_Open_2,OU_2_Over_Close,OU_2_Under_Close,OU_2_Over_Open,OU_2_Under_Open,OU_2_25_Over_Close,OU_2_25_Under_Close,OU_2_25_Over_Open,OU_2_25_Under_Open,OU_2_5_Over_Close,OU_2_5_Under_Close,OU_2_5_Over_Open,OU_2_5_Under_Open,OU_2_75_Over_Close,OU_2_75_Under_Close,OU_2_75_Over_Open,OU_2_75_Under_Open,OU_3_Over_Close,OU_3_Under_Close,OU_3_Over_Open,OU_3_Under_Open,AH_0_Home_Close,AH_0_Away_Close,AH_0_Home_Open,AH_0_Away_Open,AH_minus_0_25_Home_Close,AH_minus_0_25_Away_Close,AH_minus_0_25_Home_Open,AH_minus_0_25_Away_Open,AH_minus_0_5_Home_Close,AH_minus_0_5_Away_Close,AH_minus_0_5_Home_Open,AH_minus_0_5_Away_Open,AH_minus_0_75_Home_Close,AH_minus_0_75_Away_Close,AH_minus_0_75_Home_Open,AH_minus_0_75_Away_Open,AH_minus_1_Home_Close,AH_minus_1_Away_Close,AH_minus_1_Home_Open,AH_minus_1_Away_Open,AH_minus_1_25_Home_Close,AH_minus_1_25_Away_Close,AH_minus_1_25_Home_Open,AH_minus_1_25_Away_Open,AH_plus_0_25_Home_Close,AH_plus_0_25_Away_Close,AH_plus_0_25_Home_Open,AH_plus_0_25_Away_Open,AH_plus_0_5_Home_Close,AH_plus_0_5_Away_Close,AH_plus_0_5_Home_Open,AH_plus_0_5_Away_Open,AH_plus_0_75_Home_Close,AH_plus_0_75_Away_Close,AH_plus_0_75_Home_Open,AH_plus_0_75_Away_Open,AH_plus_1_Home_Close,AH_plus_1_Away_Close,AH_plus_1_Home_Open,AH_plus_1_Away_Open,AH_plus_1_25_Home_Close,AH_plus_1_25_Away_Close,AH_plus_1_25_Home_Open,AH_plus_1_25_Away_Open,BTTS_Yes_Close,BTTS_No_Close,BTTS_Yes_Open,BTTS_No_Open
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/lucko-imotski-zg7JvQ1b/,Lucko,Imotski,05 Mar 2016,0:0,0:0,1.85,3.02,4.60,,3.40,4.15,,,,,1.95,1.85,1.95,1.85,2.17,1.65,2.20,1.65,,,,,,,,,,,,,,,,,,,,,2.00,1.80,,,2.85,1.39,,,,,,,,,,,,,,,,,,,1.02,9.80,,,,,,,3.70,1.24,3.70,1.24
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dinamo-zagreb-cibalia-nDhOKAgS/,NK Dinamo Zagreb 2,Cibalia,31 Oct 2015,1:1,,2.57,2.82,2.89,2.42,3.20,2.60,,,,,2.02,1.77,2.02,1.77,2.30,1.59,2.30,1.60,,,,,,,,,1.80,1.99,,,,,,,,,,,,,,,4.40,1.18,,,,,,,,,,,,,,,,,,,1.13,5.20,,,,,,,5.60,1.11,,1.11
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dragovoljac-dugopolje-Qe3Bv5p1/,Dragovoljac,Dugopolje,27 Nov 2015,0:1,0:1,2.15,3.13,3.10,,,3.08,,,,,2.02,1.77,2.02,1.77,2.30,1.61,,,,,,,,,,,1.61,2.20,,,1.94,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.82,1.97,1.82
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dragovoljac-cibalia-MTXtCO4t/,Dragovoljac,Cibalia,07 Oct 2015,0:0,0:0,2.74,2.74,2.76,,3.10,2.78,,,,,,,,,2.05,1.73,2.10,1.70,,,,,,,,,1.87,1.90,,,,,,,,,,,,,,,4.75,1.16,,,,,,,,,,,,,,,,,,,1.14,5.20,,,,,,,6.00,1.10,,1.10
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/hnk-gorica-zadar-Qc4FMWOF/,Gorica,Zadar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/segesta-sibenik-vRLQS7ok/,Segesta,Sibenik,14 Nov 2015,0:4,,3.17,2.82,2.38,,3.25,2.22,,,,,2.00,1.80,2.00,1.80,2.27,1.60,2.25,1.62,,,,,,,,,2.19,1.63,,,,,,,,,,,,,,,6.50,1.09,,,,,,,1.80,2.00,,,,,,,,,,,1.19,4.25,,,,,,,7.30,1.06,7.30,1.06
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dugopolje-dinamo-zagreb-QJujZ98L/,Dugopolje,NK Dinamo Zagreb 2,07 Nov 2015,1:0,,2.19,3.20,3.00,,3.20,2.60,,,,,,,,,2.05,1.73,2.05,1.75,,,,,,,,,1.72,2.08,,,,,,,,,,,,,,,3.45,1.27,,,,,,,,,,,,,,,,,,,1.10,6.00,,,,,,,4.30,1.18,,1.18
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/rudes-segesta-EN0BNC99/,Rudes,Segesta,25 Oct 2015,3:3,,1.48,3.85,6.40,,3.60,5.30,,,,,,,,,1.79,1.98,,,,,,,,,,,1.17,4.60,,,,,,,,,,,,,,,1.94,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,1.51,2.42,1.51
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/rudes-cibalia-4WoBb5zs/,Rudes,Cibalia,27 Sep 2015,2:2,0:0,2.34,3.04,2.97,,3.00,2.52,1.77,2.02,1.77,2.02,,,,,2.25,1.62,2.35,1.57,,,,,,,,,1.80,2.01,,,,,,,,,,,,,,,3.75,1.24,,,,,,,,,,,,,,,,,,,1.12,5.40,,,,,,,4.85,1.14,,1.14
Croatia Prva NL,2015-2016,https://www.oddsportal.com/football/croatia/2-hnl-2015-2016/dragovoljac-segesta-dI8krqLe/,Dragovoljac,Segesta,24 Apr 2016,2:3,,1.89,3.05,4.29,1.93,3.20,3.56,,,,,,,,,2.11,1.69,2.15,1.68,,,,,,,,,1.33,3.10,,,,,,,1.90,1.90,,,,,,,2.94,1.37,,,,,,,,,,,,,,,,,,,1.03,9.00,,,,,,,3.90,1.22,,1.25
